ReceivingAreas_SAParametersId,rcaCode,rcaParameter,rcaDateDesignation,rcaDateDesignation_original,rcaStartDate,rcaStartDate_original,rcaCRelevantDirective,rcaCIDOtherDirective,rcaCDateOtherDirective,rcaCDateOtherDirective_original,ReportNetEnvelopeFileId
132583,ITCA99Q15SA002,aN,,2006-04-03T00:00:00,,,,,,,27565
132584,ITCM99CSA10000002,aN,,2006-04-03T00:00:00,,,,,,,27565
132585,ITTW99SA00000002,aN,,1999-05-11T00:00:00,,2009-12-08,,,,,27565
132586,ITTW99SA00000002,aP,,1999-05-11T00:00:00,,2009-12-08,,,,,27565
132587,ITCM99CSAQ15001,aN,,1999-05-11T00:00:00,,,,,,,27565
132588,ITTW05SA090000101,aN,,1999-05-11T00:00:00,,2009-12-08,,,,,27565
132589,ITTW05SA090000101,aP,,1999-05-11T00:00:00,,2009-12-08,,,,,27565
132590,ITLK05SA0000000004,aN,,2004-12-29T00:00:00,,2009-12-08,,,,,27565
132591,ITLK05SA0000000004,aP,,2004-12-29T00:00:00,,2009-12-08,,,,,27565
132592,ITCM05CSA000000002,aN,,2004-12-29T00:00:00,,2012-12-08,,,,,27565
132593,ITCM05CSA000000002,aP,,2004-12-29T00:00:00,,2012-12-08,,,,,27565
132594,ITLK05SA0000000005,aN,,2004-12-29T00:00:00,,2009-12-08,,,,,27565
132595,ITLK05SA0000000005,aP,,2004-12-29T00:00:00,,2009-12-08,,,,,27565
132596,ITCM05CSA000000003,aN,,2004-12-29T00:00:00,,2012-12-08,,,,,27565
132597,ITCM05CSA000000003,aP,,2004-12-29T00:00:00,,2012-12-08,,,,,27565
132598,ITLK05SA0000000007,aN,,2004-12-29T00:00:00,,2009-12-08,,,,,27565
